"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Potenza-C_da_Rossellino","Precipitazione","mm","01/01/2022","01","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","01/01/2022","02","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","01/01/2022","03","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","01/01/2022","04","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","01/01/2022","05","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","01/01/2022","06","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","01/01/2022","07","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","01/01/2022","08","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","01/01/2022","09","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","01/01/2022","10","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","01/01/2022","11","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","01/01/2022","12","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","01/01/2022","13","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","01/01/2022","14","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","01/01/2022","15","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","01/01/2022","16","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","01/01/2022","17","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","01/01/2022","18","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","01/01/2022","19","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","01/01/2022","20","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","01/01/2022","21","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","01/01/2022","22","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","01/01/2022","23","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","01/01/2022","24","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","02/01/2022","01","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","02/01/2022","02","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","02/01/2022","03","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","02/01/2022","04","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","02/01/2022","05","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","02/01/2022","06","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","02/01/2022","07","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","02/01/2022","08","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","02/01/2022","09","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","02/01/2022","10","0.10","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","02/01/2022","11","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","02/01/2022","12","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","02/01/2022","13","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","02/01/2022","14","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","02/01/2022","15","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","02/01/2022","16","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","02/01/2022","17","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","02/01/2022","18","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","02/01/2022","19","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","02/01/2022","20","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","02/01/2022","21","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","02/01/2022","22","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","02/01/2022","23","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","02/01/2022","24","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","03/01/2022","01","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","03/01/2022","02","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","03/01/2022","03","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","03/01/2022","04","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","03/01/2022","05","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","03/01/2022","06","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","03/01/2022","07","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","03/01/2022","08","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","03/01/2022","09","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","03/01/2022","10","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","03/01/2022","11","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","03/01/2022","12","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","03/01/2022","13","0.10","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","03/01/2022","14","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","03/01/2022","15","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","03/01/2022","16","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","03/01/2022","17","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","03/01/2022","18","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","03/01/2022","19","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","03/01/2022","20","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","03/01/2022","21","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","03/01/2022","22","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","03/01/2022","23","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","03/01/2022","24","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","04/01/2022","01","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","04/01/2022","02","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","04/01/2022","03","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","04/01/2022","04","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","04/01/2022","05","0.00","1"
"Potenza-C_da_Rossellino","Precipitazione","mm","04/01/2022","06","0.00","1"
